iter	MultiClass
0	1.062473119
1	1.029864239
2	0.9988648535
3	0.9699596322
4	0.9428770071
5	0.91754108
6	0.8946509531
7	0.8724299914
8	0.8519962152
9	0.8320228053
10	0.8132982207
11	0.7955079042
12	0.7787521723
13	0.7635008409
14	0.7491558874
15	0.7351984483
16	0.7217409595
17	0.7087591074
18	0.696609813
19	0.6850431105
20	0.6739223854
21	0.6635612007
22	0.6536278686
23	0.6440757049
24	0.6346710265
25	0.6258794452
26	0.6174402303
27	0.6094316772
28	0.6016763112
29	0.5939954613
30	0.5870832208
31	0.5806447178
32	0.5742158389
33	0.5681613929
34	0.562457704
35	0.5568880646
36	0.5513261948
37	0.5458964994
38	0.5410206897
39	0.5363763711
40	0.5313478592
41	0.526912785
42	0.5226028797
43	0.5184625605
44	0.514602608
45	0.5107960087
46	0.5071124491
47	0.5033839887
48	0.4998088634
49	0.4962906509
50	0.4933631481
51	0.4903072799
52	0.4872425826
53	0.4843595638
54	0.4815674093
55	0.4789648189
56	0.4764416401
57	0.4736831793
58	0.47123199
59	0.4690549264
60	0.4669275587
61	0.4647607983
62	0.4626221441
63	0.4603440083
64	0.4586199901
65	0.4566312809
66	0.4546609624
67	0.4529569222
68	0.451166979
69	0.4495297172
70	0.4477917556
71	0.4463850463
72	0.4449024532
73	0.4434202792
74	0.4421164583
75	0.4407697525
76	0.4392652421
77	0.4381128533
78	0.4366773542
79	0.4355244648
80	0.4343685109
81	0.4330867166
82	0.4318151452
83	0.4307067458
84	0.4296078118
85	0.4287960924
86	0.4276443602
87	0.4265939746
88	0.4255218959
89	0.42454655
90	0.4237537819
91	0.4226916369
92	0.4219306066
93	0.4209331966
94	0.4202208105
95	0.4194617816
96	0.418665149
97	0.4178201286
98	0.4172256893
99	0.4164578723
100	0.4157729315
101	0.4150256807
102	0.414257073
103	0.4137529779
104	0.4130503052
105	0.4123468974
106	0.4116805926
107	0.4111066859
108	0.4104783765
109	0.4097416716
110	0.4091342622
111	0.4086934368
112	0.4080692324
113	0.4075894341
114	0.4070524296
115	0.4065080723
116	0.4059790808
117	0.4054058312
118	0.4050189592
119	0.4045208177
120	0.4038439615
121	0.4033366893
122	0.4028963077
123	0.402500896
124	0.4021979272
125	0.4017939396
126	0.4014959571
127	0.4008241399
128	0.4005325154
129	0.4001791194
130	0.399352913
131	0.3990706718
132	0.3988318238
133	0.3985081836
134	0.3981588216
135	0.3979093413
136	0.3975611973
137	0.3970624547
138	0.396713471
139	0.396238361
140	0.3959001685
141	0.3956216665
142	0.3953272727
143	0.3949737891
144	0.3947368488
145	0.3944246304
146	0.3940688033
147	0.3938010635
148	0.3935303265
149	0.3932621499
150	0.3929813601
151	0.3926344023
152	0.3923375675
153	0.392057402
154	0.3918175596
155	0.3914510803
156	0.3911655015
157	0.3909834621
158	0.3906975848
159	0.3904770329
160	0.3899850391
161	0.389631602
162	0.3893309264
163	0.389054906
164	0.3888180554
165	0.3884579086
166	0.387992126
167	0.3877833123
168	0.3875913382
169	0.3872715114
170	0.3870149166
171	0.3868431201
172	0.3862737292
173	0.3858204814
174	0.3856208551
175	0.385242758
176	0.3851449201
177	0.3849106463
178	0.3848366025
179	0.3846405962
180	0.3842796063
181	0.3841770531
182	0.3840340343
183	0.3838994847
184	0.3835148983
185	0.3833311558
186	0.3831470042
187	0.3829273765
188	0.3827251414
189	0.3825318424
190	0.3823669466
191	0.3821886718
192	0.3820667827
193	0.3819372132
194	0.3817240333
195	0.3815533031
196	0.3814366687
197	0.3812787535
198	0.381137156
199	0.3808280241
200	0.3806385361
201	0.380463068
202	0.3803201776
203	0.3802269563
204	0.3799337112
205	0.3797893274
206	0.3795628568
207	0.3793352468
208	0.3791831136
209	0.379011835
210	0.3789036313
211	0.3787676082
212	0.3785818191
213	0.3783905362
214	0.3782589714
215	0.3782186818
216	0.3780297532
217	0.3778835954
218	0.3777439161
219	0.3776784256
220	0.3775054578
221	0.3771906329
222	0.3769662606
223	0.3768323033
224	0.3766773929
225	0.3765871326
226	0.3763434013
227	0.3763299371
228	0.3760707297
229	0.3760559887
230	0.375771858
231	0.3755952145
232	0.3753777507
233	0.3752258429
234	0.3751224081
235	0.3750389531
236	0.374910039
237	0.3748463482
238	0.3747297997
239	0.3745605438
240	0.374427527
241	0.3742353041
242	0.3740349112
243	0.3738181082
244	0.3736215556
245	0.3735302535
246	0.3734027192
247	0.3732657434
248	0.3731715651
249	0.373134689
250	0.3730061365
251	0.3728884763
252	0.3727711129
253	0.372646749
254	0.3724638012
255	0.3723651294
256	0.3721601894
257	0.3720537058
258	0.3719016243
259	0.3717767885
260	0.3716810654
261	0.371485219
262	0.3713077981
263	0.3711881853
264	0.3709752787
265	0.3708327446
266	0.3707731144
267	0.3707180379
268	0.3705558258
269	0.3705136293
270	0.3703477908
271	0.3701823585
272	0.3700049674
273	0.3698977454
274	0.3698053886
275	0.3696999933
276	0.3696341812
277	0.3695327747
278	0.3695070361
279	0.3692731323
280	0.3692168441
281	0.3689894453
282	0.3688851458
283	0.3687694499
284	0.3686868553
285	0.3685103858
286	0.3684352507
287	0.3683571718
288	0.3681539623
289	0.367996132
290	0.3678698743
291	0.3676535682
292	0.3675713745
293	0.3674854468
294	0.3673734725
295	0.3672520551
296	0.3671841341
297	0.367128001
298	0.36699534
299	0.3668628984
300	0.3667522349
301	0.3666361505
302	0.3665373927
303	0.366428032
304	0.3663467054
305	0.3660715355
306	0.3658926161
307	0.3656939919
308	0.3656152848
309	0.3655259038
310	0.3653174621
311	0.3651670288
312	0.365091627
313	0.3649087229
314	0.3648392124
315	0.3646984454
316	0.3645628463
317	0.3644863702
318	0.3643535925
319	0.3641530885
320	0.3640246775
321	0.363921884
322	0.363711772
323	0.363603293
324	0.3635383441
325	0.3633572296
326	0.3633017867
327	0.3630736773
328	0.3629354354
329	0.3628155267
330	0.3626922677
331	0.3626035866
332	0.3624984448
333	0.3623599741
334	0.3621695829
335	0.3621275277
336	0.3620238918
337	0.3616752419
338	0.361572351
339	0.36144685
340	0.3613589308
341	0.3612086478
342	0.3610943271
343	0.3610031702
344	0.3608408357
345	0.3607837941
346	0.3604251309
347	0.3603444396
348	0.3602286865
349	0.3600996403
350	0.3599680188
351	0.3599250268
352	0.359721801
353	0.3596193205
354	0.3595525602
355	0.3593135294
356	0.3592017828
357	0.3589962884
358	0.3586913333
359	0.3586068748
360	0.358401117
361	0.3581962193
362	0.3580896075
363	0.3579491877
364	0.3578441339
365	0.357666301
366	0.3575060065
367	0.3573768038
368	0.3572983644
369	0.3571498321
370	0.3570198847
371	0.356856645
372	0.3567683733
373	0.3566042171
374	0.3564481942
375	0.3563536274
376	0.3561254842
377	0.3558674558
378	0.3557031246
379	0.3555861061
380	0.3554294637
381	0.3553008526
382	0.3552148194
383	0.3551282568
384	0.3549916382
385	0.3548975698
386	0.3547622182
387	0.3545992719
388	0.3545610679
389	0.3544791715
390	0.3542920882
391	0.3541975301
392	0.3540919536
393	0.3539731653
394	0.3538342662
395	0.3536768294
396	0.3534952835
397	0.3534252626
398	0.3533359185
399	0.3532123808
400	0.3530447939
401	0.3529654333
402	0.352942655
403	0.3528206602
404	0.3527036567
405	0.3525857954
406	0.3524651442
407	0.3523584703
408	0.3522735559
409	0.352143186
410	0.3519806378
